ano,data,descricao,dia_da_semana
2021,2021-04-02,Paixão de Cristo,sexta-feira
2021,2021-04-21,Tiradentes,quarta-feira
2021,2021-05-01,Dia do Trabalho,sábado
2021,2021-06-03,Corpus Christi,quinta-feira
2021,2021-09-07,Independência do Brasil,terça-feira
2021,2021-11-02,Finados,terça-feira
2021,2021-11-15,Proclamação da República,segunda-feira
2021,2021-12-25,Natal,sábado
2022,2022-01-01,Confraternização Universal,sábado
2022,2022-02-28,Carnaval,segunda-feira
2022,2022-03-01,Carnaval,terça-feira
2022,2022-04-15,Paixão de Cristo,sexta-feira
2022,2022-04-21,Tiradentes,quinta-feira
2022,2022-05-01,Dia do Trabalho,domingo
2022,2022-06-16,Corpus Christi,quinta-feira
2022,2022-09-07,Independência do Brasil,quarta-feira
2022,2022-11-02,Finados,quarta-feira
2022,2022-11-15,Proclamação da República,terça-feira
2022,2022-12-25,Natal,domingo
2023,2023-01-01,Confraternização Universal,domingo
2023,2023-02-20,Carnaval,segunda-feira
2023,2023-02-21,Carnaval,terça-feira
2023,2023-04-07,Paixão de Cristo,sexta-feira
2023,2023-04-21,Tiradentes,sexta-feira
2023,2023-05-01,Dia do Trabalho,segunda-feira
2023,2023-06-08,Corpus Christi,quinta-feira
2023,2023-09-07,Independência do Brasil,quinta-feira
2023,2023-11-02,Finados,quinta-feira
2023,2023-11-15,Proclamação da República,quarta-feira
2023,2023-12-25,Natal,segunda-feira
2024,2024-01-01,Confraternização Universal,segunda-feira
2024,2024-02-12,Carnaval,segunda-feira
2024,2024-02-13,Carnaval,terça-feira
2024,2024-03-29,Paixão de Cristo,sexta-feira
2024,2024-04-21,Tiradentes,domingo
2024,2024-05-01,Dia do Trabalho,quarta-feira
2024,2024-05-30,Corpus Christi,quinta-feira
2024,2024-09-07,Independência do Brasil,sábado
2024,2024-11-02,Finados,sábado
2024,2024-11-15,Proclamação da República,sexta-feira
2024,2024-11-20,Dia Nacional de Zumbi e da Consciência Negra,quarta-feira
2024,2024-12-25,Natal,quarta-feira
2025,2025-01-01,Confraternização Universal,quarta-feira
2025,2025-03-03,Carnaval,segunda-feira
2025,2025-03-04,Carnaval,terça-feira
2025,2025-04-18,Paixão de Cristo,sexta-feira
2025,2025-04-21,Tiradentes,segunda-feira
2025,2025-05-01,Dia do Trabalho,quinta-feira
2025,2025-06-19,Corpus Christi,quinta-feira
2025,2025-09-07,Independência do Brasil,domingo
2025,2025-11-02,Finados,domingo
2025,2025-11-15,Proclamação da República,sábado
2025,2025-11-20,Dia Nacional de Zumbi e da Consciência Negra,quinta-feira
2025,2025-12-25,Natal,quinta-feira
2026,2026-01-01,Confraternização Universal,quinta-feira
2026,2026-02-16,Carnaval,segunda-feira
2026,2026-02-17,Carnaval,terça-feira
2026,2026-04-03,Paixão de Cristo,sexta-feira
2026,2026-04-21,Tiradentes,terça-feira
2026,2026-05-01,Dia do Trabalho,sexta-feira
2026,2026-06-04,Corpus Christi,quinta-feira
2026,2026-09-07,Independência do Brasil,segunda-feira
2026,2026-11-02,Finados,segunda-feira
2026,2026-11-15,Proclamação da República,domingo
2026,2026-11-20,Dia Nacional de Zumbi e da Consciência Negra,sexta-feira
2026,2026-12-25,Natal,sexta-feira
2027,2027-01-01,Confraternização Universal,sexta-feira
2027,2027-02-08,Carnaval,segunda-feira
2027,2027-02-09,Carnaval,terça-feira
2027,2027-03-26,Paixão de Cristo,sexta-feira
2027,2027-04-21,Tiradentes,quarta-feira
2027,2027-05-01,Dia do Trabalho,sábado
2027,2027-05-27,Corpus Christi,quinta-feira
2027,2027-09-07,Independência do Brasil,terça-feira
2027,2027-11-02,Finados,terça-feira
2027,2027-11-15,Proclamação da República,segunda-feira
2027,2027-11-20,Dia Nacional de Zumbi e da Consciência Negra,sábado
2027,2027-12-25,Natal,sábado
2028,2028-01-01,Confraternização Universal,sábado
2028,2028-02-28,Carnaval,segunda-feira
2028,2028-02-29,Carnaval,terça-feira
2028,2028-04-14,Paixão de Cristo,sexta-feira
2028,2028-04-21,Tiradentes,sexta-feira
2028,2028-05-01,Dia do Trabalho,segunda-feira
2028,2028-06-15,Corpus Christi,quinta-feira
2028,2028-09-07,Independência do Brasil,quinta-feira
2028,2028-11-02,Finados,quinta-feira
2028,2028-11-15,Proclamação da República,quarta-feira
2028,2028-11-20,Dia Nacional de Zumbi e da Consciência Negra,segunda-feira
2028,2028-12-25,Natal,segunda-feira
2029,2029-01-01,Confraternização Universal,segunda-feira
2029,2029-02-12,Carnaval,segunda-feira
2029,2029-02-13,Carnaval,terça-feira
